Nombre,Variedad,Precio,Volumen,Graduacion,Productor,Pais,Etiqueta,Notas De Cata,Url,Calorias,Proteinas,Grasa,Hidratos De Carbono,Azucar,Sal
Carl Jung RosÃ©,Vino Rosado Sin Alcohol,6.86,75,"<0,5 %",Carl Jung (Alemania),Alemania,Vegano,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"19,4","0,0","0,0","4,2","3,5","<0,1 g"
Schloss Raggendorf Shiraz RosÃ©,Vino Rosado Sin Alcohol,6.86,75,"0,5",Carl Jung (Alemania),Alemania,Syrah,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,79,"0,5","0,0","4,8","4,2","<0,1 g"
Carl Jung Cabernet Sauvignon,Vino Tinto Sin Alcohol,6.86,75,"<0,5 %",Carl Jung (Alemania),Alemania,"Cabernet Sauvignon, Vegano","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"19,4","0,0","0,0","4,2","3,5","<0,1 g"
Carl Jung Merlot,Vino Tinto Sin Alcohol,6.86,75,"<0,5 %",Carl Jung (Alemania),Alemania,"Merlot, Vegano","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"22,9","0,0","0,0","4,7","4,0","<0,1 g"
Schloss Raggendorf Zweigelt,Vino Tinto Sin Alcohol,6.86,75,"0,5",Carl Jung (Alemania),Alemania,No Disponible,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"9,5","0,5","0,3","5,6","4,6","<0,1 g"
Schloss Raggendorf Cabernet Sauvignon,Vino Tinto Sin Alcohol,6.86,75,"0,5",Carl Jung (Alemania),Alemania,Cabernet Sauvignon,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"9,5","0,5","0,0","5,6","4,6","<0,1 g"
Carl Jung Chardonnay,Vino Blanco Sin Alcohol,6.86,75,"<0,5 %",Carl Jung (Alemania),Alemania,"Chardonnay, Vegano","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"20,1","0,0","0,0","4,4,","4,0","<0,1 g"
Carl Jung Riesling,Vino Blanco Sin Alcohol,6.86,75,"<0,5 %",Carl Jung (Alemania),Alemania,"Riesling, Vegano","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"18,5","0,0","0,0","3,9","3,5","<0,1 g"
Oddbird Domaine de la Prade Blanco,Vino Blanco Sin Alcohol,6.86,75,"<0,5 %",Oddbird International (Suecia),Suecia,"Chardonnay, OrgÃ¡nico / EcolÃ³gico, Vegano","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"19,5","0,0","0,0","4,2","4,2","<0,1 g"
Oddbird Low Intervention Organic White NÂº2,Vino Blanco Sin Alcohol,6.86,75,"0,0",Oddbird International (Suecia),Suecia,"OrgÃ¡nico / EcolÃ³gico, Sin saborizantes, Vegano","De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"18,3","0,0","0,0","4,4","4,4"," <0,1 g"
Schloss Raggendorf GrÃ¼ner Veltliner,Vino Blanco Sin Alcohol,6.86,75,"0,5",Oddbird International (Suecia),Suecia,No Disponible,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,88,"0,5","0,3","4,8","4,2"," <0,1 g"
Schloss Raggendorf Chardonnay,Vino Blanco Sin Alcohol,6.86,75,"0,5",Oddbird International (Suecia),Suecia,Chardonnay,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,88,"0,5","0,0","4,8","4,2"," <0,1 g"
KÃ¶nig & Krieger RosÃ©,Vino Rosado Sin Alcohol,6.86,75,"0,5%",Oddbird International (Suecia),Suecia,Merlot,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"78,4","0,0","0,0","4,4","3,6"," <0,1 g"
KÃ¶nig & Krieger Cabernet Sauvignon,Vino Tinto Sin Alcohol,6.86,75,"0,5%",Oddbird International (Suecia),Suecia,Cabernet Sauvignon,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"79,9","0,3","0,0","4,7","3,7"," <0,1 g"
KÃ¶nig & Krieger Riesling,Vino Blanco Sin Alcohol,6.86,75,"0,5%",Oddbird International (Suecia),Suecia,Riesling,"De color rosa sutil, ligeramente brillante, finamente afrutado y refrescante. Acidez armoniosa, taninos sutiles, frutal con recuerdos a frambuesas y fresas.",https://www.thebluedolphinstore.com/producto/vino-sin-alcohol-zero-zero-blanco/,"80,3","0,0","0,0","4,5","3,8"," <0,1 g"
